name,popularity,followers,num_collaborators,sum_collaborators_popularity,sum_collaborators_in_playlist,in_playlist
ROSÉ,84,7766971,5,326,2,1
Bruno Mars,94,60240128,25,1816,3,1
Billie Eilish,96,100730714,13,899,1,1
Sabrina Carpenter,95,13640801,20,1325,3,1
Sevdaliza,77,704987,15,929,2,1
Pabllo Vittar,77,4281403,38,2107,2,0
Yseult,75,264714,21,1016,2,1
Hanumankind,76,503600,20,976,2,1
Kalmi,75,32646,18,557,2,1
Ndotz,74,105313,6,211,1,1
Relimax,10,304,19,161,1,0
Jordan Adetunji,74,187605,7,414,1,1
Ariis,72,129708,4,256,0,0
Isabel LaRosa,76,1883039,2,138,0,0
girl in red,78,7577980,7,314,2,1
JISTEON,3,224,2,3,1,1
Megan Thee Stallion,83,9838493,28,1925,1,1
千葉雄喜,70,106762,5,247,1,0
KATSEYE,75,524871,2,146,1,1
sapientdream,61,171619,10,497,2,1
Slushii,63,638589,21,1004,2,1
*NSYNC,78,2664960,10,445,1,1
Hansel,7,190,11,148,1,1
Clean Bandit,77,5594270,15,1024,1,1
Zara Larsson,78,10575720,6,450,1,0
Tarek.S,1,379,6,40,1,1
Artemas,80,956224,5,172,1,1
Alphaville,74,929889,4,301,1,1
Darking On,13,439,19,419,5,1
JOVINCII,7,26,3,28,3,1
Zodiac X,8,228,20,88,3,1
Chappell Roan,90,3493917,3,120,1,1
Odetari,81,3520434,12,812,1,1
фрози,71,326979,14,782,2,1
Tomo,63,34523,5,312,2,1
Slowboy,68,152841,36,1835,2,0
IVOXYGEN,67,169830,14,623,2,1
zaichkou888,62,4423,13,703,2,1
Benson Boone,86,3726066,3,128,1,1
KSI,68,2480576,33,2018,1,1
Trippie Redd,82,9870244,36,2080,2,0
Hozier,87,7932348,12,695,1,1
Surf Curse,76,1323826,3,134,1,1
Lithe,73,289378,6,345,1,1
Tinashe,74,2844504,26,1612,1,1
HIFEER,25,490,19,439,4,1
Mixo,19,3324,21,476,3,1
Jetason,37,1689,62,1302,3,1
Charli xcx,89,4259115,34,2216,2,0
RRIDAH,35,324,14,259,2,1
ETERN3,35,175,8,237,2,1
Faruk Orman,46,2663,38,1619,2,1
mavzy grx,44,4361,56,2058,3,1
Rave The Storm,25,33,3,79,3,1
Arnie Way,27,47,3,79,3,1
Brave The Storm,27,275,7,168,3,1
Ellister,42,1872,19,616,1,1
Djo,76,1566750,1,76,1,1
Lady Gaga,92,32062017,21,1285,2,1
S_Zer0,29,579,9,139,1,1
Arlane,19,407,33,603,4,1
