name,popularity,followers,pagerank,closeness_cent,clustering,deg_cent,degree,num_collaborators,sum_collaborators_popularity,sum_collaborators_in_playlist,in_playlist
Hanumankind,76,503600,0.0001586752800033,0.2587359307061318,0.0818713450292397,0.0005251520176893,19,20,976,2,1
Kalmi,75,32646,0.0001447770442309,0.2581889242153499,0.0808823529411764,0.0004698728579325,17,18,557,2,1
Parimal Shais,51,38998,0.0001303517124754,0.2577903643659386,0.1142857142857142,0.0004145936981757,15,15,633,1,0
Shalmali Kholgade,63,155041,0.0001990293212588,0.2070558886315804,0.0086580086580086,0.0006080707573244,22,22,1010,2,0
Vishal Dadlani,75,11840425,0.0002649486304472,0.2066328635368278,0.0,0.0008015478164731,29,29,1482,0,0
Karan Kanchan,55,28199,0.0001282048670526,0.2064024188472769,0.0583333333333333,0.0004422332780541,16,14,705,0,0
Sushin Shyam,72,1789520,7.766482394113363e-05,0.2054928136269728,0.1428571428571428,0.000221116639027,8,7,326,0,0
Vinayak Sasikumar,72,109939,0.0002703584629225,0.2055963625378456,0.0085470085470085,0.0007462686567164,27,27,1341,0,0
KSHMR,65,1770808,0.0001668774663535,0.2157957373283119,0.0079051383399209,0.0006357103372028,23,19,1008,0,0
MC Couper,53,40849,0.000189012169955,0.2056835185673812,0.0421052631578947,0.0005527915975677,20,19,758,0,0
ThirumaLi,54,269603,0.0001521327941439,0.2055728195318752,0.05,0.0004422332780541,16,16,622,0,0
B. Ajaneesh Loknath,58,508515,8.113258348845893e-05,0.2054058191063925,0.0,0.0001934770591487,7,7,255,0,0
Charanraj MR,58,142143,0.0001259824206385,0.2055798818675018,0.0,0.0003316749585406,12,12,352,0,0
Yashraj,55,118332,0.0001649678141073,0.2066281069045326,0.0684210526315789,0.0005527915975677,20,20,849,1,0
Various Artists,0,2551849,0.0065275122771397,0.3464283434144382,0.0016806139102052,0.0257048092868988,930,0,0,0,0
Till Apes,31,9350,4.16377431689976e-05,0.2053987687247386,0.0,0.0001105583195135,4,4,111,0,0
Vishal Bhardwaj,49,1624494,3.907168061510832e-05,0.2054340254738073,0.0,0.0001105583195135,4,4,201,0,0
Lojal,7,4004,8.465634303671474e-05,0.2574890195004281,0.0222222222222222,0.0002763957987838,10,10,111,0,0
Arshaq Malik,5,493,7.54343155191504e-05,0.2574262510712257,0.1071428571428571,0.000221116639027,8,8,34,0,0
47K,2,181,3.469215789748796e-05,0.257418868562,0.5,0.0001105583195135,4,4,19,0,0
TATA.ev,9,18,1.1153868627976008e-05,0.2050468656807337,0.0,2.763957987838585e-05,1,2,84,1,0
Murane Athma,1,25,1.1153868627976008e-05,0.2050468656807337,0.0,2.763957987838585e-05,1,2,76,1,0
KAVYA,23,7508,0.0001313873748798,0.2572491876404067,0.0128205128205128,0.000359314538419,13,14,397,1,0
The Mellow Turtle,15,81,1.1153868627976008e-05,0.2050468656807337,0.0,2.763957987838585e-05,1,2,90,1,0
Dropped Out,50,23608,0.0001592106295696,0.2060056938083252,0.0467836257309941,0.0005251520176893,19,18,629,1,0
Three Oscillators,15,5176,0.0001756341850293,0.2060671749867089,0.0073529411764705,0.0004698728579325,17,18,266,1,0
Buki,16,753,4.6815185055298056e-05,0.2050538919242893,0.0,0.0001105583195135,4,5,156,1,0
DG IMMORTALS,54,112678,0.0001352005325154,0.2054857572721296,0.0659340659340659,0.0003869541182974,14,14,598,0,0
Raga,56,440173,0.0001802377769937,0.2086817299694236,0.031578947368421,0.0005527915975677,20,19,766,0,0
Ankur Tewari,47,268964,0.0001689335421446,0.206949671851241,0.0105263157894736,0.0005527915975677,20,20,828,0,0
